Model,PitchGroup,Cluster,GlobalMean
Left,0.0,0,-0.01604324755199974
Left,0.0,1,-0.002210454141157289
Left,0.0,2,0.004954587320797214
Left,0.0,3,0.012628487803069898
Left,0.0,4,0.0018693720727023533
Left,0.0,5,0.024279875140970946
Left,0.0,6,0.07267741287471373
Left,0.0,7,0.08502924362168528
Left,0.0,8,0.03150603770399787
Left,0.0,9,0.0039347994417928064
Left,0.0,10,-0.017946543896047364
Left,0.0,11,0.028549795761345878
Left,0.0,12,-0.025719041349574437
Left,0.0,13,-0.038925173477374245
Left,0.0,14,-0.025732754387659526
Left,0.0,15,0.06483575883701641
Left,0.0,16,-0.0265889647462815
Left,0.0,17,-0.021078980858211832
Left,0.0,18,0.04162620640458688
Left,0.0,19,-0.0028943148647772123
Left,0.0,20,-0.03054322503625068
Left,0.0,21,-0.00818108028196996
Left,0.0,22,-0.0255650608184673
Left,0.0,23,0.015861443997286562
Left,0.0,24,0.022810572929561918
Left,1.0,0,-0.029228577092036044
Left,1.0,1,-0.0025633018315995063
Left,1.0,2,0.016795756917250836
Left,1.0,3,-0.0097273186400042
Left,1.0,4,-0.012881841334061046
Left,1.0,5,0.06269262227157638
Left,1.0,6,-0.03082417261996575
Left,1.0,7,0.010031067459366336
Left,1.0,8,0.021204499269140524
Left,1.0,9,0.06469506366952878
Left,1.0,10,0.02026630608910627
Left,1.0,11,-0.019445522415356416
Left,1.0,12,0.07068194379067126
Left,1.0,13,0.002405952447144959
Left,1.0,14,-0.04288067375286618
Left,1.0,15,-0.015284306459951843
Left,1.0,16,-0.0019123510618323802
Left,1.0,17,-0.0032880340524490854
Left,1.0,18,-0.023730615899992286
Left,1.0,19,0.05231734368816538
Left,1.0,20,-0.03230563886403985
Left,1.0,21,-0.02750527202964848
Left,1.0,22,0.023581123886354718
Left,1.0,23,-0.030232069683874156
Left,1.0,24,-0.030012164462093753
Left,2.0,0,-0.03285510608977388
Left,2.0,1,-0.003398927746427708
Left,2.0,2,-0.026220757214997933
Left,2.0,3,-0.03331678405788722
Left,2.0,4,0.044799061716540245
Left,2.0,5,0.00019115134934640527
Left,2.0,6,-0.010347127202999157
Left,2.0,7,0.005148441292494872
Left,2.0,8,0.06266526326914969
Left,2.0,9,-0.024227068628842333
Left,2.0,10,-0.0378807528311429
Left,2.0,11,0.03745972604701494
Left,2.0,12,0.02384125590793797
Left,2.0,13,0.04611561089852423
Left,2.0,14,-0.014645532898187092
Left,2.0,15,-0.016575206366821957
Left,2.0,16,0.017368563624211294
Left,2.0,17,-0.0017851588920514987
Left,2.0,18,0.041565672478818684
Left,2.0,19,0.0005585556428189535
Left,2.0,20,-0.02365106708741956
Left,2.0,21,-0.012041881379661645
Left,2.0,22,-0.006271324849216668
Left,2.0,23,0.0006131376940593306
Left,2.0,24,0.07542494511993944
Right,0.0,0,-0.023102737152975405
Right,0.0,1,-0.02582713960288117
Right,0.0,2,0.06774028930840165
Right,0.0,3,-0.027634988274694138
Right,0.0,4,0.030704521049164695
Right,0.0,5,0.010072822148173352
Right,0.0,6,-0.007984997948142074
Right,0.0,7,-0.020391229623792098
Right,0.0,8,-0.01316933561074597
Right,0.0,9,0.027204260559275214
Right,0.0,10,0.0624611620564647
Right,0.0,11,0.014122770644776095
Right,0.0,12,0.0045697886915532825
Right,0.0,13,0.08252527477843301
Right,0.0,14,0.000927783309354506
Right,0.0,15,-0.008319116190746564
Right,0.0,16,0.0368623408279174
Right,0.0,17,0.0008898454402907976
Right,0.0,18,0.02323173419516309
Right,0.0,19,-0.0072554204726354736
Right,0.0,20,0.01500016595146163
Right,0.0,21,0.00491349899304412
Right,0.0,22,-0.005350541990855567
Right,0.0,23,-0.02913480691467683
Right,0.0,24,0.0032401352845133945
Right,1.0,0,-0.03725346662076884
Right,1.0,1,-0.008717586742436383
Right,1.0,2,-0.0399416156469665
Right,1.0,3,0.04246410864260291
Right,1.0,4,0.019232795024562654
Right,1.0,5,-0.013214687173408115
Right,1.0,6,-0.01850647073933332
Right,1.0,7,0.022640271684203992
Right,1.0,8,-0.01732586363849032
Right,1.0,9,0.0834670120360757
Right,1.0,10,0.05274275889726898
Right,1.0,11,-0.0278724341048623
Right,1.0,12,0.002951557694159244
Right,1.0,13,-0.018410726572421984
Right,1.0,14,-0.022330440593753182
Right,1.0,15,-0.003113347486218852
Right,1.0,16,-0.014082827235517747
Right,1.0,17,0.04268330394529984
Right,1.0,18,0.038056986517821016
Right,1.0,19,0.009326646845940338
Right,1.0,20,-0.024113437879172275
Right,1.0,21,-0.011714202755543796
Right,1.0,22,-0.013561145091647285
Right,1.0,23,-0.03093362423699985
Right,1.0,24,0.012717575142204052
Right,2.0,0,-0.0015603519567503842
Right,2.0,1,-0.026310603226429804
Right,2.0,2,-0.010386326909576929
Right,2.0,3,-0.02966058178490173
Right,2.0,4,-0.02776151846679127
Right,2.0,5,0.0064708699696035205
Right,2.0,6,-0.02981137066021894
Right,2.0,7,0.06589142812977947
Right,2.0,8,-0.02578004173936847
Right,2.0,9,0.0328500531477948
Right,2.0,10,0.032755053113289495
Right,2.0,11,-0.013874666213036813
Right,2.0,12,-0.00033720105307716183
Right,2.0,13,0.03210221021947459
Right,2.0,14,-0.004925276978873194
Right,2.0,15,-0.0017703411651481189
Right,2.0,16,-0.010733154552223565
Right,2.0,17,0.06530410126989143
Right,2.0,18,-0.011455754942137884
Right,2.0,19,0.025673426469754464
Right,2.0,20,-0.019626552135878658
Right,2.0,21,0.036997292507137125
Right,2.0,22,-0.01280594175336468
Right,2.0,23,-0.03486493841176164
Right,2.0,24,0.050282050762844976
